NombreEtiqueta;Actualizado;Fecha;foto;cuadricula;Operador;long;lat
A1,A,B;Si;19/09/2024;DCIM/etiquetasarboles_20240919110719010.jpg;Sector der;Operador1;-72,51852333;7,941855556
A2,A;Si;19/09/2024;DCIM/etiquetasarboles_20240919110816173.jpg;Sector der;Operador1;-72,51851806;7,941855
A3;Si;19/09/2024;DCIM/etiquetasarboles_20240919110853216.jpg;Sector der;Operador1;-72,5185475;7,941836389
A4,A,B,C;Si;19/09/2024;DCIM/etiquetasarboles_20240919112930466.jpg;Sector iz;Operador1;-72,51986667;7,9412425
A5;Si;19/09/2024;DCIM/etiquetasarboles_20240919113302134.jpg;Sector iz;Operador1;-72,5199125;7,941234722
A6;Si;19/09/2024;DCIM/etiquetasarboles_20240919115600873.jpg;Sector iz;Operador1;-72,51866722;7,9362375
A7,A,B,C;Si;19/09/2024;DCIM/etiquetasarboles_20240919120350990.jpg;Sector iz;Operador1;-72,51839778;7,935780833
A8;Si;19/09/2024;DCIM/etiquetasarboles_20240919121145538.jpg;Sector iz;Operador1;-72,51802694;7,935390278
A9;Si;19/09/2024;DCIM/etiquetasarboles_20240919121243486.jpg;Sector iz;Operador1;-72,51803861;7,935360833
A10;Si;19/09/2024;DCIM/etiquetasarboles_20240919121329440.jpg;Sector iz;Operador1;-72,51808222;7,935341111
A11;Si;19/09/2024;DCIM/etiquetasarboles_20240919121426931.jpg;Sector iz;Operador1;-72,51798639;7,935285556
A12,A;Si;19/09/2024;DCIM/etiquetasarboles_20240919122239042.jpg;Sector iz;Operador1;-72,51784889;7,935342778
A13,A;Si;19/09/2024;DCIM/etiquetasarboles_20240919122337049.jpg;Sector iz;Operador1;-72,51781556;7,935340833
A14,A,B;Si;19/09/2024;DCIM/etiquetasarboles_20240919123038782.jpg;Sector iz;Operador1;-72,51782667;7,935242222
A15,;Si;19/09/2024;DCIM/etiquetasarboles_20240919123207181.jpg;Sector iz;Operador1;-72,51789222;7,935204444
A16,A;Si;19/09/2024;DCIM/etiquetasarboles_20240919124154702.jpg;Sector iz;Operador1;-72,51783944;7,935061944
